SBS0_Load,SBS0_SINR,SBS0_PRB,SBS0_Power,SBS1_Load,SBS1_SINR,SBS1_PRB,SBS1_Power,SBS2_Load,SBS2_SINR,SBS2_PRB,SBS2_Power,SBS3_Load,SBS3_SINR,SBS3_PRB,SBS3_Power,SBS4_Load,SBS4_SINR,SBS4_PRB,SBS4_Power,SBS5_Load,SBS5_SINR,SBS5_PRB,SBS5_Power,Throughput,Delay,SINR,EnergyEfficiency,TotalPower,PacketLoss,BackhaulUtilization,SleepRatio,ActiveSBS,Reward
20.4779,18.1864,34,30,11.1109,2.63746,29,22,13.221,17.7673,42,28,31.9291,7.46619,39,25,54.5281,4.40662,44,23,33.3255,22.208,52,31,35.3751,0.002,12.112,0.941727,37.5641,2.5,6.70252,0.333333,6,47.3803
57.1113,9.37345,31,26,25.8496,16.3211,45,26,45.4549,12.2661,48,31,36.8722,19.9138,52,31,11.1158,9.55603,35,23,44.9429,13.6487,49,22,33.5492,0.002,13.5132,0.89056,37.6721,2.5,5.91382,0,6,44.2471
10.7508,7.69476,22,28,44.7731,10.1797,30,25,53.0587,10.702,31,29,17.8637,16.8235,22,31,40.5609,9.27189,45,24,35.4987,14.1778,47,29,15.9673,0.008,11.4749,0.419685,38.046,4.5,2.13493,0,6,6.16075
23.186,17.2126,33,28,45.9805,11.8756,21,29,57.652,13.7193,35,25,43.9457,20.4715,39,26,55.4085,26.8571,65,30,22.8936,9.16443,26,27,62.2291,0.005,16.5501,1.72185,36.1408,2.5,24.5965,0.166667,5,93.4643
15.4898,9.50032,20,25,52.3399,10.712,26,24,22.5953,18.9261,30,30,46.9324,16.2027,21,31,59.2137,5.50637,40,27,18.9041,20.4775,42,25,36.4844,0.008,13.5542,0.969201,37.6438,0.5,8.83508,0,6,57.1636
29.0501,17.5018,34,30,37.2785,11.0209,20,23,27.6807,10.2352,28,22,58.4571,11.9296,33,27,23.0271,7.33936,24,26,46.7068,10.6785,31,26,31.655,0.008,11.4509,0.90043,35.1554,1.5,18.7255,0.166667,5,45.2718
33.6052,20.2716,38,25,41.6561,12.3373,32,25,18.9201,24.7044,39,29,44.1137,7.72417,20,25,34.8962,11.3705,45,22,34.2122,25.2133,57,31,47.9197,0.006,16.9369,1.28954,37.1604,2.5,14.9227,0,6,68.7453
33.6052,20.2716,38,27,41.6561,12.3373,22,25,18.9201,24.7044,39,31,44.1137,7.72417,20,25,34.8962,11.3705,45,22,34.2122,25.2133,42,31,47.9197,0.006,16.9369,1.26738,37.81,2.5,7.61361,0,6,68.7354
34.1211,21.4279,39,27,37.0397,22.5315,30,31,57.7368,12.0323,33,24,20.293,7.36547,20,24,59.0727,10.3847,50,27,35.491,15.051,33,22,42.5321,0.009,14.7988,1.15194,36.9222,2.5,7.64949,0,6,59.7855
43.1607,11.9834,31,21,31.3017,20.0933,27,29,37.5579,15.5305,33,29,42.093,4.0222,24,24,44.9647,14.8673,50,28,33.3261,16.1086,33,31,29.9812,0.004,13.7675,0.791988,37.8556,1.5,4.72115,0,6,42.1176
